[2025-09-28T23:58:33.680+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-09-28T23:58:33.699+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-09-28T23:57:00+00:00 [queued]>
[2025-09-28T23:58:33.703+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-09-28T23:57:00+00:00 [queued]>
[2025-09-28T23:58:33.703+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-09-28T23:58:33.712+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-09-28 23:57:00+00:00
[2025-09-28T23:58:33.718+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-09-28T23:57:00+00:00', '--job-id', '234', '--raw', '--subdir', 'DAGS_FOLDER/minio_snowflake.py', '--cfg-path', '/tmp/tmpkfabe5n9']
[2025-09-28T23:58:33.720+0000] {standard_task_runner.py:91} INFO - Job 234: Subtask download_minio
[2025-09-28T23:58:33.721+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=47747) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-09-28T23:58:33.721+0000] {standard_task_runner.py:64} INFO - Started process 47765 to run task
[2025-09-28T23:58:33.751+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-09-28T23:57:00+00:00 [running]> on host f6f7016991e5
[2025-09-28T23:58:33.805+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-09-28T23:57:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-09-28T23:57:00+00:00'
[2025-09-28T23:58:33.806+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-09-28T23:58:34.052+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1758414067.json -> /tmp/minio_downloads/1758414067.json
[2025-09-28T23:58:34.056+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1758414075.json -> /tmp/minio_downloads/1758414075.json
[2025-09-28T23:58:34.061+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1758414083.json -> /tmp/minio_downloads/1758414083.json
